AHousehold,ATotal,Date,Household,Show,Time,Total,Year,Month
0.52,641.0,2017-01-07,,DBZ Kai: The Final Chapters,12:00,1124,2017,1
0.43,550.0,2017-01-21,,DBZ Kai: The Final Chapters,12:00,925,2017,1
0.5,634.0,2017-01-28,,DBZ Kai: The Final Chapters,12:00,1038,2017,1
0.5,672.0,2017-02-04,,DBZ Kai: The Final Chapters,12:00,1130,2017,2
0.52,665.0,2017-02-11,,DBZ Kai: The Final Chapters,12:00,1130,2017,2
0.49,634.0,2017-02-18,,DBZ Kai: The Final Chapters,12:00,1003,2017,2
0.5,647.0,2017-02-25,,DBZ Kai: The Final Chapters,12:00,1162,2017,2
0.52,663.0,2017-03-04,,DBZ Kai: The Final Chapters,12:00,1102,2017,3
0.48,616.0,2017-03-18,,DBZ Kai: The Final Chapters,12:00,973,2017,3
0.54,694.0,2017-03-25,,DBZ Kai: The Final Chapters,12:00,1074,2017,3
0.4,511.0,2017-04-01,,DBZ Kai: The Final Chapters,12:00,864,2017,4
0.49,629.0,2017-04-08,,DBZ Kai: The Final Chapters,12:00,1012,2017,4
0.45,577.0,2017-04-15,,DBZ Kai: The Final Chapters,12:00,924,2017,4
0.5,637.0,2017-04-22,,DBZ Kai: The Final Chapters,12:00,976,2017,4
0.48,619.0,2017-04-29,,DBZ Kai: The Final Chapters,12:00,996,2017,4
0.4,519.0,2017-05-06,,DBZ Kai: The Final Chapters,12:00,925,2017,5
0.53,678.0,2017-05-13,,DBZ Kai: The Final Chapters,12:00,1107,2017,5
0.48,615.0,2017-05-20,,DBZ Kai: The Final Chapters,12:00,1026,2017,5
